epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.108,2.20888,2.79221,2.11451,0.26726,0.31504,0.21007,0.06971,1.57958,7.65105,1.40763,0.0669471,0.000199515,0.000199515
2,276.817,2.14587,2.46729,2.0198,0.32192,0.33819,0.2748,0.0953,1.49467,2.49558,1.43286,0.0338058,0.000391604,0.000391604
3,406.349,2.07512,2.34246,1.9871,0.38452,0.35565,0.33482,0.10918,1.47354,2.00637,1.43333,0.00065668,0.000575774,0.000575774
4,535.426,2.07268,2.29809,1.95372,0.42556,0.39564,0.3565,0.12613,1.47477,2.38314,1.37502,0.00056436,0.00056436,0.00056436
5,658.928,2.04523,2.25788,1.94638,0.43056,0.35106,0.33871,0.12229,1.47689,2.19647,1.41677,0.00055248,0.00055248,0.00055248
6,778.812,2.0424,2.2199,1.93116,0.35734,0.40726,0.35476,0.12301,1.4618,1.94392,1.34922,0.0005406,0.0005406,0.0005406
7,895.305,2.02105,2.17534,1.89568,0.42401,0.39843,0.37532,0.13161,1.48192,2.37893,1.34253,0.00052872,0.00052872,0.00052872
