epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3555.56,1.80328,1.82099,1.82168,0.53389,0.49623,0.51767,0.19979,1.41858,1.67171,1.3556,0.000485566,0.000485566,0.000485566
43,3636.9,1.80309,1.78925,1.80057,0.53606,0.48028,0.50683,0.19743,1.42037,2.83309,1.36334,0.000466163,0.000466163,0.000466163
44,3720.31,1.812,1.77034,1.80439,0.51049,0.48792,0.4938,0.19112,1.43162,2.35192,1.37035,0.000446819,0.000446819,0.000446819
45,3799.87,1.7933,1.77453,1.7978,0.56483,0.49882,0.52639,0.20257,1.43431,2.43352,1.35004,0.000427565,0.000427565,0.000427565
46,3875.66,1.79408,1.77237,1.79349,0.50622,0.51772,0.49292,0.18991,1.43124,2.37562,1.36812,0.00040843,0.00040843,0.00040843
47,3952.14,1.77075,1.76381,1.77567,0.56386,0.50096,0.52653,0.20229,1.4362,2.16551,1.36512,0.000389445,0.000389445,0.000389445
48,4029.46,1.78546,1.75179,1.79193,0.55144,0.51173,0.52101,0.20009,1.44771,1.68637,1.3808,0.000370637,0.000370637,0.000370637
49,4106.66,1.77158,1.74095,1.7739,0.54162,0.50903,0.52439,0.20398,1.41735,1.66781,1.34908,0.000352037,0.000352037,0.000352037
50,4182.8,1.76291,1.72086,1.77416,0.53842,0.51003,0.51802,0.19862,1.45499,1.89864,1.38763,0.000333672,0.000333672,0.000333672
51,4258.4,1.76353,1.70269,1.76983,0.5434,0.50574,0.53493,0.21444,1.42377,2.02034,1.36301,0.000315572,0.000315572,0.000315572
52,4334.52,1.74606,1.69246,1.76064,0.5382,0.52156,0.53137,0.21004,1.425,2.03118,1.36839,0.000297763,0.000297763,0.000297763
53,4410.71,1.74379,1.68763,1.75077,0.58178,0.49298,0.54414,0.22109,1.41258,1.76282,1.35341,0.000280275,0.000280275,0.000280275
54,4487.37,1.74301,1.66532,1.75159,0.52291,0.52703,0.53973,0.21844,1.42651,1.72512,1.3516,0.000263132,0.000263132,0.000263132
55,4565.39,1.72625,1.65626,1.74546,0.54807,0.52861,0.54197,0.21489,1.4147,2.46226,1.35623,0.000246363,0.000246363,0.000246363
56,4641.61,1.72557,1.61385,1.72146,0.55487,0.54412,0.55348,0.22233,1.42442,1.38793,1.35341,0.000229993,0.000229993,0.000229993
57,4717.45,1.72823,1.6249,1.73025,0.57993,0.52449,0.55854,0.22495,1.41512,2.2509,1.34579,0.000214046,0.000214046,0.000214046
58,4793.41,1.72253,1.61254,1.72954,0.55057,0.54198,0.55502,0.22105,1.42106,1.5571,1.35217,0.000198548,0.000198548,0.000198548
59,4869.32,1.70552,1.60833,1.728,0.54508,0.53671,0.55583,0.221,1.43788,1.4789,1.36766,0.000183523,0.000183523,0.000183523
60,4948.58,1.7125,1.61146,1.73501,0.5751,0.52453,0.54514,0.22203,1.42516,1.784,1.36072,0.000168994,0.000168994,0.000168994
61,5031,1.69745,1.58611,1.71725,0.56336,0.55561,0.55485,0.21934,1.4326,2.09323,1.37082,0.000154982,0.000154982,0.000154982
62,5110.67,1.7019,1.58559,1.71169,0.57675,0.54663,0.55998,0.22736,1.43535,1.28065,1.36409,0.00014151,0.00014151,0.00014151
63,5190.27,1.68542,1.55857,1.70344,0.58062,0.52615,0.55094,0.22389,1.43431,1.90353,1.36224,0.000128599,0.000128599,0.000128599
64,5269.47,1.68426,1.56536,1.70412,0.54595,0.56817,0.55177,0.22217,1.43643,1.60931,1.38243,0.000116268,0.000116268,0.000116268
65,5349.06,1.70366,1.5637,1.71326,0.5727,0.55099,0.55841,0.22885,1.42929,2.10538,1.36587,0.000104537,0.000104537,0.000104537
66,5428.62,1.66708,1.55454,1.70133,0.59466,0.54531,0.56668,0.2282,1.42948,1.82623,1.36501,9.34225e-05,9.34225e-05,9.34225e-05
67,5508.19,1.66363,1.52329,1.69234,0.57,0.56214,0.57258,0.23291,1.42983,1.80334,1.36038,8.29431e-05,8.29431e-05,8.29431e-05
68,5587.77,1.66998,1.52519,1.69359,0.57681,0.56879,0.5734,0.22866,1.44122,1.52068,1.37482,7.31145e-05,7.31145e-05,7.31145e-05
69,5666.95,1.67522,1.55593,1.70816,0.54334,0.58056,0.56634,0.23173,1.43076,1.53477,1.36568,6.39518e-05,6.39518e-05,6.39518e-05
70,5746.77,1.6643,1.50183,1.68812,0.57887,0.55684,0.56954,0.23436,1.42612,1.41894,1.36124,5.54691e-05,5.54691e-05,5.54691e-05
71,5857.72,1.65608,1.34809,1.69067,0.57469,0.55734,0.5635,0.23286,1.4256,3.71217,1.35411,4.76796e-05,4.76796e-05,4.76796e-05
72,5935.58,1.632,1.30495,1.68165,0.58084,0.55906,0.56741,0.23256,1.42766,2.3051,1.35886,4.05953e-05,4.05953e-05,4.05953e-05
73,6014.12,1.59983,1.27355,1.65619,0.58566,0.56897,0.56696,0.23362,1.42367,1.85896,1.35643,3.4227e-05,3.4227e-05,3.4227e-05
74,6093.3,1.61229,1.27208,1.65702,0.55168,0.57903,0.5662,0.23432,1.42257,2.2334,1.35408,2.85847e-05,2.85847e-05,2.85847e-05
75,6172.28,1.62201,1.26556,1.66462,0.56784,0.57311,0.57033,0.23407,1.42995,1.84046,1.36267,2.36769e-05,2.36769e-05,2.36769e-05
76,6250.9,1.62216,1.2671,1.67134,0.55616,0.58,0.57284,0.23641,1.42781,1.88784,1.36132,1.95113e-05,1.95113e-05,1.95113e-05
77,6330.27,1.62097,1.26876,1.68225,0.59627,0.53844,0.57322,0.23712,1.42694,1.83171,1.36094,1.60943e-05,1.60943e-05,1.60943e-05
78,6409.89,1.61443,1.24679,1.65842,0.58067,0.55643,0.5714,0.23614,1.42996,1.79215,1.36379,1.34311e-05,1.34311e-05,1.34311e-05
79,6486.83,1.6193,1.25297,1.66512,0.5723,0.56751,0.57328,0.23682,1.42796,1.79324,1.36282,1.15259e-05,1.15259e-05,1.15259e-05
80,6564.52,1.60453,1.23975,1.66111,0.57927,0.5589,0.57241,0.23669,1.43072,1.74477,1.36518,1.03816e-05,1.03816e-05,1.03816e-05
